year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,mmr,sellingprice
2012,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdka3dc8cs012961,in,3,83134,gray,gray,14400,12500
2012,Toyota,Sienna,LE 8-Passenger,Minivan,,5tdkk3dc7cs195279,pa,47,44167,white,gray,17200,18500
2012,Toyota,Yaris,LE,Hatchback,automatic,jtdktud31cd523214,ga,28,58902,silver,,7850,7800
2012,Toyota,Tundra,Tundra,Double Cab,automatic,5tfry5f15cx116920,mn,,130703,brown,,16550,11100
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv9cw194256,pa,31,65841,white,gray,12550,12200
2012,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwjp7at4cm613514,oh,43,20213,yellow,black,12000,11000
2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du1c5490142,ny,27,75357,gray,gray,11700,10300
2012,Toyota,Tundra,Tundra,Double Cab,automatic,5tfry5f11cx119426,nc,,23653,silver,,21600,16000
2012,Volkswagen,CC,R-Line,Sedan,manual,wvwnn7an1ce515588,fl,31,49648,black,black,12650,11500
2012,Toyota,RAV4,Limited,SUV,automatic,2t3dk4dv2cw081754,pa,41,19307,green,gray,21700,22250
2012,Toyota,Highlander,Limited,SUV,automatic,5tddk3eh3cs112711,oh,42,45251,gray,black,27200,27100
2012,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tfhy5f15cx248426,co,,37663,silver,gray,32600,31700
2012,Toyota,Yaris,LE,Hatchback,manual,jtdktud32cd503764,pr,43,40048,red,black,8100,7800
2012,Volkswagen,Beetle,2.0T White Turbo Launch Edition PZEV,Hatchback,automatic,3vwva7at0cm609186,nv,48,23808,red,black,13900,15000
2012,Volkswagen,Beetle,2.5L PZEV,Hatchback,automatic,3vwjp7at1cm650746,fl,44,15801,brown,black,12350,12600
2012,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdkk3dc6cs193247,pa,46,20921,gray,gray,18900,19600
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k38cl036570,il,1,63134,black,black,7700,4900
2012,Toyota,Sienna,XLE 7-Passenger,Minivan,,5tddk3dc5cs033756,pa,39,56327,white,tan,24500,27400
2012,Volkswagen,CC,Sport,Sedan,automatic,wvwmn7an5ce536830,fl,4,31084,gray,black,13600,13800
2012,Toyota,Sienna,XLE 8-Passenger,Minivan,automatic,5tdyk3dc0cs271659,tx,28,82994,gray,tan,22000,17200
2012,Volkswagen,Beetle,2.5L,Hatchback,automatic,3vwjx7at5cm612193,tx,36,47535,white,black,10500,11200
2012,Toyota,RAV4,Limited,SUV,automatic,2t3yf4dv6cw135028,ga,5,9886,�,tan,20300,20400
2012,Toyota,Tacoma,V6,Double Cab,automatic,5tflu4en7cx028192,ga,,62295,gray,gray,24200,23500
2012,Volkswagen,CC,R-Line,Sedan,automatic,wvwmn7an8ce547174,fl,36,23994,gray,beige,12600,15000
2012,Toyota,Sienna,XLE 7-Passenger,Minivan,,5tddk3dc7cs035184,pa,21,33059,white,beige,26900,24100
2012,Toyota,Sienna,SE 8-Passenger,Minivan,automatic,5tdxk3dc5cs198672,oh,32,36441,black,black,21800,22100
2012,Toyota,Prius c,Two,Hatchback,automatic,jtdkdtb32c1504179,tx,22,30674,white,gray,12350,13800
2012,Volkswagen,CC,Sport,Sedan,automatic,wvwmn7an1ce513383,ga,39,89303,black,,10600,9400
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv0cw215737,ga,27,48750,silver,gray,14250,10000
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k34cl030393,pr,25,30262,green,black,9325,8000
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k35cl037367,nc,35,82632,white,black,6750,7000
